district,village,street,section,crossroad,death_toll,injured_toll,weather_desc,light_desc,road_type_desc,accident_location_desc,road_surface_condition_desc,road_surface_defect_desc,obstacle_desc,traffic_sign_desc,div_facility_desc,expressway_desc,expressway_slow_fast_lane_desc,road_side_line_desc,accident_type_and_form_desc,surveillance_tape
仁武區,村,義大二路,,,1,0,陰,晨或暮光,其他,其他,濕潤,無缺陷,無障礙物,無號誌,無,車道線(無標記),快慢車道分隔線,無,對撞,Y
內門區,村,高117鄉道,,,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,彎曲路及附近,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,無標記,未繪設車道線,未繪設快慢車道分隔線,有,對撞,Y
大樹區,村,統嶺路,,,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,交通島(含槽化緣),乾燥,無缺陷,無障礙物,無號誌,寬式(50公分以上),禁止變換車道線(附標記),快慢車道分隔線,有,撞交通島,N
鳳山區,,建國路,1,,1,0,晴,日間自然光線,直路,快車道,乾燥,無缺陷,無障礙物,無號誌,寬式(50公分以上),車道線(無標記),快慢車道分隔線,有,同向擦撞,Y
三民區,村,民族一路,,,1,1,晴,日間自然光線,其他,其他,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,同向擦撞,Y
大寮區,,河堤路,3,,1,0,晴,日間自然光線,直路,路肩、路線,乾燥,無缺陷,無障礙物,無號誌,無標記,未繪設車道線,快慢車道分隔線,有,撞路樹、電桿,Y
岡山區,村,岡山路,,嘉新西路,1,0,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
美濃區,,中山路,2,中山路,1,2,晴,日間自然光線,三岔路,交岔口附近,乾燥,無缺陷,無障礙物,無號誌,無標記,未繪設車道線,未繪設快慢車道分隔線,有,撞路樹、電桿,N
美濃區,村,中正路,3,,1,0,晴,日間自然光線,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,無標記,未繪設車道線,未繪設快慢車道分隔線,有,側撞,Y
大寮區,村,興隆路,,東隆街,1,0,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,路口交岔撞,Y
左營區,,天祥二路,,天祥二路,1,0,晴,日間自然光線,三岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,寬式(50公分以上),車道線(無標記),未繪設快慢車道分隔線,無,側撞,Y
茄萣區,村,正大路,,,1,0,晴,日間自然光線,彎曲路及附近,慢車道,乾燥,無缺陷,無障礙物,無號誌,寬式(50公分以上),禁止變換車道線(附標記),快慢車道分隔線,有,側撞,Y
燕巢區,村,深中路,,,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,彎曲路及附近,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,寬式(50公分以上),車道線(無標記),未繪設快慢車道分隔線,有,路上翻車、摔倒,N
內門區,村,182縣道,,,1,1,晴,夜間(或隧道、地下道、涵洞) 有照明,彎曲路及附近,路肩、路線,乾燥,無缺陷,無障礙物,無號誌,無標記,未繪設車道線,快慢車道分隔線,有,撞路樹、電桿,Y
鼓山區,,九如四路,,建榮路,1,0,晴,日間自然光線,,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,,車道線(無標記),快慢車道分隔線,無,側撞,Y
三民區,村,九如一路,,臥龍路,1,1,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,寬式(50公分以上),車道線(無標記),未繪設快慢車道分隔線,無,路口交岔撞,Y
鳳山區,村,紅毛港路,,家和一街,1,1,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
大寮區,村,鳳屏一路,,,1,0,晴,晨或暮光,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,同向擦撞,Y
仁武區,,高楠四街,,,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,其他,Y
小港區,村,山明路,,,1,1,晴,日間自然光線,彎曲路及附近,快車道,乾燥,無缺陷,無障礙物,無號誌,無標記,未繪設車道線,快慢車道分隔線,無,側撞,N
楠梓區,村,高楠公路,,,1,0,晴,日間自然光線,直路,慢車道,乾燥,無缺陷,無障礙物,無號誌,寬式(50公分以上),車道線(無標記),寬式快慢車道分隔島(50公分以上),無,同向擦撞,Y
美濃區,村,永華街,,,1,0,晴,日間自然光線,彎曲路及附近,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,無,車道線(無標記),未繪設快慢車道分隔線,有,撞路樹、電桿,Y
左營區,村,蓮潭路,,蓮潭路,1,3,晴,夜間(或隧道、地下道、涵洞) 有照明,三岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無標記,未繪設車道線,未繪設快慢車道分隔線,無,同向擦撞,Y
小港區,村,高坪十五路,,高坪十八路,1,0,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,追撞,Y
美濃區,,中山路,2,,1,0,晴,日間自然光線,直路,快車道,乾燥,無缺陷,無障礙物,無號誌,,未繪設車道線,未繪設快慢車道分隔線,有,側撞,N
杉林區,村,南河,,,1,0,晴,日間自然光線,直路,路肩、路線,乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,有,其他,Y
鼓山區,,銘傳路,,翠華路,1,0,晴,日間自然光線,,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,,禁止變換車道線(附標記),快慢車道分隔線,有,路口交岔撞,Y
左營區,,左營新路,,孔營路,1,0,晴,日間自然光線,,交岔口附近,乾燥,無缺陷,無障礙物,行車管制號誌,,未繪設車道線,未繪設快慢車道分隔線,無,其他,Y
三民區,村,中華二路,,,1,0,雨,夜間(或隧道、地下道、涵洞) 有照明,直路,快車道,濕潤,無缺陷,無障礙物,無號誌,寬式(50公分以上),車道線(無標記),寬式快慢車道分隔島(50公分以上),無,其他,Y
左營區,村,翠華路,,,1,0,晴,日間自然光線,直路,慢車道,乾燥,無缺陷,無障礙物,無號誌,寬式(50公分以上),車道線(無標記),快慢車道分隔線,無,追撞,Y
鳳山區,,紅毛港路,,南華一路,1,0,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
仁武區,村,義大二路,,學府路,1,0,晴,日間自然光線,三岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,路上翻車、摔倒,Y
大寮區,村,仁愛路,,國華街,1,2,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,路口交岔撞,N
林園區,村,沿海路,3,田厝路,1,1,晴,夜間(或隧道、地下道、涵洞) 有照明,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,寬式(50公分以上),禁止變換車道線(附標記),寬式快慢車道分隔島(50公分以上),有,側撞,Y
田寮區,村,台28省道,,,2,1,晴,日間自然光線,彎曲路及附近,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,附標記,禁止變換車道線(附標記),未繪設快慢車道分隔線,有,其他,N
鳳山區,村,五甲一路,,,1,1,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,慢車道,乾燥,無缺陷,無障礙物,無號誌,無標記,車道線(無標記),寬式快慢車道分隔島(50公分以上),無,追撞,Y
左營區,村,翠華路,,新莊一路,1,0,晴,日間自然光線,直路,慢車道,乾燥,無缺陷,無障礙物,無號誌,無標記,車道線(無標記),窄式快慢車道分隔島(無柵欄),無,同向擦撞,Y
楠梓區,村,加昌路,,秀群路,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
大寮區,村,拷潭路,,,1,0,陰,日間自然光線,彎曲路及附近,一般車道(未劃分快慢車道),濕潤,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,有,對向擦撞,Y
新興區,,中正三路,,復興一路,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,行車管制號誌,窄式無柵欄,車道線(無標記),未繪設快慢車道分隔線,無,撞交通島,Y
三民區,村,民族一路,,大順二路,1,2,晴,夜間(或隧道、地下道、涵洞) 有照明,多岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,寬式(50公分以上),車道線(附標記),快慢車道分隔線,無,側撞,Y
路竹區,村,環球路,,,1,0,晴,日間自然光線,直路,慢車道,乾燥,無缺陷,道路工事(程)中,無號誌,無標記,車道線(無標記),快慢車道分隔線,有,在路上作業中,Y
旗津區,,旗津二路,,,1,3,晴,日間自然光線,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,附標記,車道線(附標記),未繪設快慢車道分隔線,有,側撞,Y
三民區,村,慶雲街,,九如一路,1,1,晴,夜間(或隧道、地下道、涵洞) 有照明,三岔路,交岔路口內,乾燥,無缺陷,無障礙物,閃光號誌,窄式無柵欄,車道線(無標記),快慢車道分隔線,無,穿越道路中,Y
茄萣區,村,白砂路,,白砂路,1,1,晴,日間自然光線,三岔路,交岔口附近,乾燥,無缺陷,無障礙物,無號誌,附標記,未繪設車道線,未繪設快慢車道分隔線,有,側撞,Y
楠梓區,村,後昌路,,學專路,1,0,晴,日間自然光線,三岔路,交岔口附近,乾燥,無缺陷,無障礙物,行車管制號誌,附標記,車道線(附標記),快慢車道分隔線,無,側撞,Y
鳳山區,村,高鳳一路,,過埤路,1,0,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,有,側撞,Y
鳳山區,村,國泰路,2,,1,1,晴,日間自然光線,直路,慢車道,乾燥,無缺陷,無障礙物,無號誌,寬式(50公分以上),車道線(無標記),寬式快慢車道分隔島(50公分以上),無,同向擦撞,Y
橋頭區,村,橋南路,,球場路,1,2,晴,日間自然光線,三岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無標記,未繪設車道線,快慢車道分隔線,有,側撞,Y
小港區,,中山四路,,平和東路,1,0,晴,日間自然光線,四岔路,交岔口附近,乾燥,無缺陷,無障礙物,行車管制號誌,無標記,車道線(無標記),快慢車道分隔線,無,追撞,Y
旗山區,村,旗甲路,4,,1,1,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,慢車道,乾燥,無缺陷,無障礙物,無號誌,無標記,車道線(無標記),快慢車道分隔線,有,同向通行中,Y
梓官區,村,赤崁東路,,,1,1,晴,日間自然光線,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,無標記,車道線(無標記),未繪設快慢車道分隔線,有,側撞,Y
大社區,村,大社路,,,1,0,晴,日間自然光線,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,附標記,未繪設車道線,未繪設快慢車道分隔線,有,對向擦撞,Y
彌陀區,,山霸煙路,,鹽埕大路,1,0,晴,日間自然光線,,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
路竹區,村,復興路,,,1,0,晴,日間自然光線,彎曲路及附近,一般車道(未劃分快慢車道),乾燥,突出(高低)不平,無障礙物,無號誌,無標記,未繪設車道線,未繪設快慢車道分隔線,有,路上翻車、摔倒,Y
前鎮區,村,中華五路,,林森四路,1,1,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無標記,車道線(無標記),未繪設快慢車道分隔線,無,路口交岔撞,Y
小港區,村,沿海二路,,永光街,1,1,雨,晨或暮光,三岔路,交岔口附近,濕潤,無缺陷,無障礙物,行車管制號誌,無標記,車道線(無標記),快慢車道分隔線,無,撞護欄(樁),N
鼓山區,村,中華一路,,,1,2,晴,日間自然光線,高架道路,快車道,乾燥,無缺陷,無障礙物,無號誌,附標記,車道線(附標記),快慢車道分隔線,有,撞護欄(樁),Y
橋頭區,村,甲典街,,通典路,2,2,陰,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,有,路口交岔撞,Y
阿蓮區,,玉庫,,玉庫,1,1,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,路口交岔撞,Y
仁武區,村,八德東路,,,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,快車道,乾燥,無缺陷,無障礙物,閃光號誌,無標記,未繪設車道線,快慢車道分隔線,有,撞號誌、標誌桿,Y
鳳山區,村,武慶二路,,武慶二路,1,1,晴,日間自然光線,三岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,路口交岔撞,Y
林園區,村,溪州一路,,,1,0,雨,夜間(或隧道、地下道、涵洞) 有照明,直路,慢車道,泥濘,無缺陷,無障礙物,無號誌,附標記,車道線(附標記),快慢車道分隔線,有,撞路樹、電桿,Y
林園區,村,頂窯溝,,下山腳,1,1,陰,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,路口交岔撞,Y
燕巢區,村,尖山巷,,,1,0,陰,日間自然光線,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,撞護欄(樁),Y
左營區,村,自由二路,,明誠二路,1,1,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,窄式無柵欄,車道線(無標記),未繪設快慢車道分隔線,無,側撞,Y
三民區,里,十全一路,,自由一路,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌(附設行人專用號誌),無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
燕巢區,村,深水路,,,1,1,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,快車道,乾燥,無缺陷,無障礙物,無號誌,寬式(50公分以上),車道線(無標記),未繪設快慢車道分隔線,有,撞交通島,N
三民區,,吉林街,,北平一街,1,0,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無標記,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
楠梓區,,加昌路,,加昌路,1,0,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,寬式(50公分以上),車道線(無標記),快慢車道分隔線,有,側撞,Y
橋頭區,村,甲樹路,,,1,2,晴,夜間(或隧道、地下道、涵洞) 無照明,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,行車管制號誌,寬式(50公分以上),未繪設車道線,未繪設快慢車道分隔線,有,側撞,N
大寮區,,高屏大橋,,,1,1,陰,日間自然光線,直路,慢車道,乾燥,無缺陷,無障礙物,無號誌,寬式(50公分以上),車道線(無標記),窄式快慢車道分隔島(附柵欄),有,追撞,Y
橋頭區,村,筆秀東路,,,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,無標記,車道線(無標記),未繪設快慢車道分隔線,有,撞路樹、電桿,Y
岡山區,村,白米路,,白米路,1,1,晴,夜間(或隧道、地下道、涵洞) 無照明,三岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,有,側撞,Y
岡山區,村,公園東路,,公園北路,1,0,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無標記,未繪設車道線,快慢車道分隔線,有,同向擦撞,Y
岡山區,村,本洲路,,本工南一路,1,0,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無標記,車道線(無標記),未繪設快慢車道分隔線,有,路口交岔撞,Y
小港區,,中林路,,,1,0,晴,日間自然光線,直路,機車專用道,乾燥,無缺陷,無障礙物,無號誌,無標記,車道線(無標記),寬式快慢車道分隔島(50公分以上),有,撞路樹、電桿,N
鳥松區,,中正路,,,1,0,晴,日間自然光線,直路,慢車道,乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
仁武區,村,鳳仁路,,竹門巷,1,0,晴,日間自然光線,三岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,有,側撞,Y
林園區,村,沿海路,4,椰樹東巷,1,1,陰,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,路口交岔撞,Y
三民區,村,九如二路,,自立一路,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,四岔路,交岔口附近,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,同向擦撞,Y
大寮區,村,萬丹路,,,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,無標記,車道線(無標記),未繪設快慢車道分隔線,有,撞路樹、電桿,Y
阿蓮區,村,忠孝路,,,1,0,晴,日間自然光線,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,無標記,未繪設車道線,未繪設快慢車道分隔線,有,同向擦撞,Y
前鎮區,村,鎮興路,,鎮興路,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,三岔路,交岔口附近,乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,追撞,Y
大寮區,,鳳林一路,,鳳林一路,1,1,晴,夜間(或隧道、地下道、涵洞) 有照明,,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,路口交岔撞,Y
前鎮區,村,二聖路,,凱旋三路,1,0,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
大社區,村,大社路,,嘉保路,1,4,晴,夜間(或隧道、地下道、涵洞) 有照明,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,寬式(50公分以上),車道線(無標記),未繪設快慢車道分隔線,有,側撞,Y
旗山區,村,旗甲路,3,,1,1,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,慢車道,乾燥,無缺陷,無障礙物,無號誌,附標記,未繪設車道線,快慢車道分隔線,有,對撞,Y
美濃區,,光明路,,清興街,1,1,晴,日間自然光線,,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
